cod;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101
1;-1.41;2.05;-0.23;-0.87;-1.17;0.8;3.06;4.02;1.17;-1.32;-2.66;5.66;5.45;5.91;-1.28;-4.77;-10.82;-17.12;-22.3;-26.92;-29.15;-36.7;-38.54;-38.58;-35.15;-33.41;-35.21;-33.61;-32.0;-30.75;-30.58;-30.08;-30.2;-29.71;-34.19;-36.49;-40.76;-39.94;-45.05;-40.5;-43.05;-38.58;-39.7;-37.13;-35.3;-33.21;-31.5;-28.92;-31.36;-34.93;-37.1;-37.64;-38.48;-34.66;-35.54;-32.1;-36.5;-34.91;-37.36;-39.63;-39.24;-36.77;-34.5;-37.12;-41.3;-43.54;-44.95;-38.72;-38.17;-35.68;-37.23;-33.34;-35.62;-35.49;-34.79;-32.35;-30.37;-30.38;-27.96;-30.38;-30.72;-27.76;-26.14;-25.26;-25.16;-27.09;-28.6;-31.13;-24.45;-18.59;-16.62;-24.99;-30.28;-31.94;-25.46;-20.78;-21.28;-21.99;-24.44;-22.41
2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;3.84;-0.55;0.53;1.06;1.37;0.67;-0.74;0.5;-1.37;0.93;-0.08;3.87;5.45;2.34;-3.72;-10.32;-13.17;-15.58;-20.22;-21.76;-22.81;-25.19;-29.09;-31.49;-28.68;-26.38;-26.1;-26.86;-29.59;-27.02;-26.43;-26.17;-27.94;-24.62;-27.09;-29.23;-38.3;-36.33;-40.36;-37.34;-35.89;-34.4;-34.99;-35.27;-29.35;-26.05;-22.97;-19.85;-19.38;-22.21;-32.08;-32.08;-34.55;-23.43;-20.54;-15.49;-18.57;-19.03;-23.78;-30.72;-34.07;-26.56;-26.11;-30.27;-35.72;-33.36;-29.8;-29.56;-24.77;-25.56;-24.44;-30.28;-31.18;-34.57;-29.66;-25.07;-20.06;-25.06;-29.41;-31.5;-27.52;-24.75;-19.62;-19.39;-18.37;-22.96;-24.08;-26.48;-20.76;-10.35;-10.13;-17.69;-28.59;-29.06;-30.98;-27.75;-25.26;-21.36;-23.49;-25.62
4;8.92;6.69;5.77;6.48;3.56;2.59;0.88;-0.81;-3.56;-4.89;-7.72;-7.04;2.13;0.99;-0.33;-17.96;-22.41;-30.59;-34.39;-32.11;-33.42;-37.75;-45.91;-47.34;-48.48;-47.39;-43.0;-37.51;-42.42;-45.87;-47.93;-40.64;-42.36;-27.72;-29.21;-32.75;-45.87;-46.92;-49.2;-55.06;-46.13;-39.93;-33.81;-40.36;-39.06;-36.22;-40.19;-31.47;-30.94;-29.75;-35.7;-38.19;-35.13;-34.4;-21.76;-19.39;-17.37;-30.19;-36.66;-46.21;-43.33;-33.69;-30.45;-39.76;-45.56;-44.61;-39.7;-42.0;-38.46;-36.26;-35.66;-37.82;-39.55;-42.44;-44.5;-37.57;-31.88;-34.06;-40.8;-41.12;-35.32;-32.63;-23.8;-20.49;-19.09;-24.47;-27.73;-27.02;-29.75;-21.28;-23.78;-24.24;-32.25;-32.66;-31.46;-31.82;-23.36;-18.77;-14.88;-23.75
5;0.11;0.62;0.77;1.27;0.98;0.82;0.22;0.53;-0.98;-1.62;-3.22;-3.34;-7.24;-9.87;-12.74;-16.06;-24.67;-35.02;-45.51;-50.75;-52.39;-54.76;-56.6;-60.07;-57.4;-56.12;-56.18;-55.12;-55.62;-53.56;-54.46;-54.09;-56.17;-56.8;-57.58;-57.21;-56.62;-55.54;-58.88;-60.8;-60.84;-56.47;-52.69;-50.76;-49.07;-49.51;-49.32;-51.22;-50.34;-52.97;-52.57;-55.46;-55.35;-52.08;-50.7;-48.83;-48.69;-47.13;-48.67;-53.12;-54.07;-53.21;-53.43;-56.2;-55.78;-53.1;-50.41;-50.6;-51.66;-52.18;-51.72;-48.81;-48.79;-48.99;-48.88;-49.18;-46.9;-48.01;-44.57;-43.09;-39.37;-38.3;-41.12;-41.93;-41.82;-37.43;-35.41;-40.65;-43.01;-47.26;-44.85;-47.12;-43.6;-40.95;-38.28;-37.14;-38.8;-36.61;-36.38;-33.35
6;-2.62;-1.31;-0.36;1.15;0.98;1.09;0.8;0.37;-0.98;-2.13;-2.68;1.36;-0.49;-2.36;-7.75;-10.78;-17.37;-26.94;-33.96;-38.27;-39.68;-45.62;-46.54;-47.26;-43.3;-41.59;-43.6;-44.94;-47.21;-45.77;-47.7;-46.47;-44.39;-38.81;-42.12;-45.66;-46.49;-43.45;-45.72;-45.09;-43.65;-38.4;-38.51;-38.95;-37.98;-36.09;-32.78;-32.27;-34.56;-39.34;-40.45;-37.76;-38.29;-31.87;-32.57;-28.22;-32.29;-33.72;-39.68;-46.92;-46.35;-42.52;-40.71;-47.26;-49.7;-48.87;-43.85;-38.97;-36.49;-35.46;-36.82;-34.33;-33.64;-34.66;-33.36;-34.34;-32.14;-34.6;-31.5;-30.21;-28.0;-24.93;-24.68;-25.2;-26.91;-26.78;-24.84;-28.39;-26.6;-25.97;-23.66;-27.49;-27.99;-27.82;-23.62;-18.84;-15.76;-15.12;-19.4;-18.9
7;-1.22;-5.41;-3.52;0.28;1.06;2.12;2.74;1.33;-1.06;-5.72;-8.02;-7.63;-3.11;-0.4;-4.73;-13.27;-19.97;-24.44;-30.95;-35.27;-34.88;-39.27;-38.57;-38.49;-33.33;-35.78;-35.98;-36.25;-37.03;-40.85;-41.08;-42.87;-41.62;-33.06;-28.58;-27.77;-34.45;-29.47;-35.08;-34.82;-34.5;-27.64;-31.42;-33.34;-28.1;-20.24;-20.54;-17.69;-17.95;-21.86;-31.42;-37.61;-40.87;-37.94;-36.38;-29.37;-31.34;-34.28;-38.7;-43.77;-40.41;-39.29;-35.04;-39.39;-38.17;-40.56;-36.32;-39.36;-32.83;-34.36;-33.4;-38.82;-41.53;-42.83;-41.45;-35.6;-30.61;-32.18;-31.27;-33.92;-28.46;-29.99;-26.8;-29.58;-31.6;-34.69;-36.52;-37.28;-39.56;-33.03;-32.06;-29.44;-32.69;-34.19;-34.48;-35.49;-32.48;-29.94;-27.01;-25.66
8;-1.74;-0.5;0.11;0.06;0.19;0.18;1.31;1.16;-0.19;-1.5;-2.3;-0.69;2.24;2.6;1.63;-5.16;-12.96;-23.16;-33.11;-36.87;-40.16;-42.98;-46.71;-49.18;-48.22;-47.81;-45.29;-44.72;-42.87;-43.73;-45.1;-43.77;-44.55;-39.32;-42.3;-40.81;-44.67;-42.85;-46.76;-46.84;-43.23;-39.86;-38.77;-43.7;-44.2;-42.37;-39.21;-32.72;-32.63;-35.05;-39.42;-38.79;-40.99;-39.48;-37.88;-32.38;-32.6;-35.16;-41.62;-45.06;-46.31;-39.96;-39.59;-41.07;-43.94;-42.45;-39.35;-38.75;-36.35;-36.7;-36.35;-37.57;-37.9;-37.54;-35.7;-32.48;-30.74;-33.03;-33.49;-32.63;-30.36;-29.11;-28.15;-25.87;-26.27;-26.68;-27.18;-32.22;-31.35;-30.81;-29.86;-32.08;-32.02;-28.79;-27.4;-26.18;-23.47;-21.99;-21.99;-23.12
9;1.04;6.22;10.28;7.37;4.27;0.68;2.5;1.84;-4.27;-8.15;-10.76;-2.38;-4.9;-3.75;-8.01;-8.36;-11.34;-17.08;-21.86;-29.35;-35.4;-43.25;-45.94;-47.04;-42.12;-37.62;-37.29;-34.54;-35.26;-32.33;-33.44;-35.01;-34.1;-36.4;-36.29;-42.56;-47.5;-51.95;-54.89;-48.6;-47.18;-41.47;-42.48;-40.34;-36.24;-37.12;-31.29;-32.35;-27.55;-29.58;-30.9;-32.64;-36.65;-33.03;-34.43;-29.46;-26.81;-24.45;-28.38;-37.5;-39.51;-40.36;-39.89;-44.16;-42.32;-36.94;-29.59;-26.65;-27.17;-26.8;-26.33;-25.04;-27.21;-27.9;-26.14;-27.93;-24.19;-28.32;-26.24;-29.74;-25.11;-20.94;-21.9;-24.48;-27.41;-27.75;-27.16;-32.85;-28.52;-32.14;-31.52;-32.77;-28.28;-24.02;-25.54;-24.59;-26.6;-26.41;-26.92;-23.62
