cod;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97
1;13.66;12.31;14.69;13.5;9.59;1.3;2.0;-2.15;-9.59;-19.78;-23.91;-27.82;-33.17;-31.66;-32.65;-32.84;-38.83;-41.06;-44.01;-46.93;-49.38;-50.2;-55.13;-61.35;-66.13;-68.9;-68.83;-69.23;-66.81;-67.34;-65.33;-64.96;-63.37;-69.95;-71.07;-70.33;-62.92;-61.99;-67.53;-71.9;-76.29;-70.06;-68.64;-66.36;-68.79;-68.82;-69.66;-74.15;-71.85;-68.76;-62.51;-59.13;-57.5;-62.38;-71.22;-72.37;-65.65;-60.08;-57.37;-62.55;-67.03;-76.88;-71.17;-67.78;-59.48;-62.08;-59.29;-65.3;-70.15;-71.96;-63.82;-57.68;-56.33;-56.33;-56.53;-64.51;-63.45;-59.84;-50.64;-50.72;-46.06;-48.91;-58.27;-64.71;-60.93;-53.52;-50.18;-52.13;-57.05;-68.6;-69.32;-66.41;-56.3;-52.08;-49.32;-50.23
2;-1.33;0.26;0.1;0.33;-1.13;-0.68;2.01;1.58;1.13;-3.98;-7.23;-10.03;-16.34;-18.67;-22.36;-21.08;-23.29;-23.56;-25.33;-30.67;-35.05;-40.28;-45.43;-51.69;-56.04;-53.9;-57.54;-55.23;-56.84;-56.46;-56.67;-58.0;-53.56;-60.12;-60.42;-62.72;-58.99;-58.74;-62.49;-65.55;-70.38;-67.14;-61.12;-55.56;-53.97;-56.62;-61.76;-67.49;-66.06;-58.3;-53.67;-51.45;-52.75;-56.8;-64.67;-63.71;-55.82;-49.04;-49.07;-53.81;-59.82;-69.57;-65.29;-59.0;-50.65;-51.72;-50.88;-56.07;-63.93;-62.07;-53.89;-45.15;-47.66;-48.38;-50.35;-58.28;-57.86;-54.82;-44.84;-42.88;-41.46;-42.67;-53.24;-53.98;-51.04;-41.6;-41.08;-44.94;-47.01;-57.88;-54.67;-52.56;-39.95;-37.73;-36.72;-37.21
3;5.85;1.16;2.94;3.89;5.16;2.88;-2.38;-4.29;-5.16;-6.13;-6.08;-5.88;-2.71;-5.02;-10.31;-16.03;-18.87;-19.35;-23.18;-27.84;-32.61;-36.22;-41.81;-48.23;-55.31;-54.15;-55.57;-51.8;-50.5;-49.96;-49.89;-51.66;-50.84;-56.02;-58.34;-58.47;-55.43;-52.35;-54.14;-56.94;-64.81;-65.05;-61.35;-55.4;-51.91;-52.45;-54.94;-61.66;-61.23;-58.72;-54.48;-51.19;-50.05;-53.15;-59.17;-58.73;-52.45;-46.3;-42.4;-44.52;-50.86;-60.41;-56.91;-54.03;-49.41;-49.1;-47.68;-51.15;-58.07;-56.01;-47.58;-42.64;-39.3;-40.29;-40.9;-51.32;-50.77;-47.82;-38.38;-37.86;-35.41;-33.92;-41.01;-40.64;-42.33;-35.35;-36.65;-39.7;-45.01;-52.75;-49.71;-46.36;-36.83;-33.06;-29.23;-29.53
4;4.73;1.12;-2.07;-1.47;0.03;-0.24;0.95;2.26;-0.03;-3.12;-7.21;-7.43;-10.38;-11.68;-16.34;-18.25;-21.04;-21.3;-24.83;-30.09;-35.59;-41.63;-46.01;-51.12;-51.04;-51.02;-47.98;-48.47;-48.31;-49.1;-48.77;-50.09;-50.01;-56.05;-58.05;-60.43;-56.25;-53.58;-55.93;-59.15;-64.44;-61.97;-58.4;-53.36;-52.67;-51.69;-56.27;-60.87;-58.11;-52.3;-48.19;-48.78;-50.45;-52.94;-59.43;-58.11;-53.41;-47.4;-45.79;-49.7;-57.19;-65.87;-62.19;-57.25;-50.97;-51.7;-50.5;-56.5;-63.36;-63.16;-54.6;-47.02;-45.21;-46.44;-47.11;-55.49;-54.5;-54.16;-45.71;-44.18;-41.34;-41.87;-50.08;-50.31;-48.97;-43.31;-44.44;-46.34;-41.42;-46.69;-41.93;-46.65;-37.48;-39.19;-36.29;-37.71
5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;-1.64;6.72;4.94;3.48;0.11;0.45;-2.24;-1.6;-0.11;-0.24;-4.32;-10.61;-10.7;-10.16;-8.68;-11.82;-14.91;-17.23;-22.0;-28.45;-30.44;-32.4;-37.87;-47.5;-54.24;-56.74;-57.97;-53.78;-50.45;-50.92;-51.9;-53.71;-55.12;-63.45;-62.4;-60.87;-57.1;-57.8;-61.45;-65.89;-72.34;-67.04;-59.97;-51.76;-51.44;-51.41;-57.57;-63.08;-61.59;-52.93;-48.63;-45.87;-48.0;-54.92;-67.33;-67.33;-55.34;-46.9;-48.11;-54.09;-62.28;-70.18;-68.16;-59.14;-47.82;-46.11;-46.9;-55.81;-64.62;-65.11;-57.24;-48.06;-47.0;-43.28;-45.57;-49.17;-51.64;-48.85;-42.94;-44.35;-43.5;-45.53;-50.92;-51.07;-45.94;-41.14;-39.71;-38.7;-38.87;-48.18;-45.45;-45.67;-38.92;-40.26;-33.82;-33.21
8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;-8.21;-3.55;-0.1;2.73;1.58;-0.06;1.23;1.26;-1.58;-5.22;-10.96;-12.83;-20.2;-20.62;-22.82;-22.14;-24.78;-27.58;-29.74;-34.4;-34.94;-42.06;-47.0;-54.44;-53.75;-53.96;-59.5;-59.83;-61.72;-60.3;-59.38;-58.03;-53.02;-64.79;-64.16;-65.28;-57.13;-56.27;-56.93;-63.78;-70.4;-72.24;-63.16;-56.71;-55.49;-54.25;-59.63;-66.74;-67.53;-60.26;-51.74;-49.27;-50.72;-56.85;-66.31;-65.39;-55.81;-47.78;-49.01;-56.53;-64.89;-75.68;-71.95;-64.62;-53.64;-51.62;-50.86;-59.25;-69.84;-69.21;-61.55;-52.11;-49.4;-44.49;-43.74;-55.22;-55.47;-51.88;-39.0;-40.25;-42.95;-46.72;-54.8;-55.54;-52.11;-45.88;-40.98;-44.84;-40.57;-49.79;-41.6;-40.73;-29.95;-32.03;-31.38;-32.89
